Id,Target
ID_279628684,4
ID_f29eb3ddd,4
ID_68de51c94,4
ID_d671db89c,4
ID_d56d6f5f5,4
ID_ec05b1a7b,4
ID_e9e0c1100,4
ID_3e04e571e,4
ID_1284f8aad,4
ID_51f52fdd2,4
ID_db44f5c59,4
ID_de822510c,4
ID_d94071d7c,4
ID_064b57869,4
ID_5c837d8a4,4
ID_0a39e419e,4
ID_4ff51f90c,4
ID_336c51386,4
ID_c51938edf,4
ID_35b66f7c6,4
ID_74a2bc523,4
ID_15d393ce7,4
ID_a0bff0ba7,4
ID_848b0fdf1,4
ID_298d857e5,4
ID_1d5bf8ddf,4
ID_e5cdba865,4
ID_e18530139,4
ID_cba035c44,4
ID_b6c1c7e65,4
ID_96b1fbc81,4
ID_422226730,4
ID_e24d9c3c9,4
ID_be1c0c929,4
ID_18ffaadc6,4
ID_beb36ce09,4
ID_57b05a403,4
ID_01f1e94b3,4
ID_0f01e18e9,4
ID_e73a7a162,4
ID_488b8ac27,4
ID_1f68e9b45,4
ID_e3869ade2,4
ID_451a7e35a,4
ID_cf3c3d7ec,4
ID_feda408ee,4
ID_4dd2eaeba,4
ID_34d68201f,4
ID_839160e1d,4
ID_340865cda,4
ID_eb1d477b3,2
ID_1edc6734e,2
ID_68cdfd374,2
ID_be0fdb30f,2
ID_88d6dc9be,4
ID_e2d67d5bb,4
ID_39794350a,4
ID_91fc6ef60,4
ID_a0fb0a5c4,2
ID_b00eafd98,4
ID_332252b98,4
ID_1db0ed392,4
ID_c70e4a951,4
ID_f1a8c2996,4
ID_6e9d356d7,2
ID_5a72ab074,4
ID_18e808ee5,4
ID_bd34e0c6a,4
ID_b8802d92d,4
ID_5cba5f4d4,4
ID_c5bfe390e,4
ID_f70aba49f,4
ID_8d1510a53,4
ID_c52da52d4,4
ID_4f75bf2e4,4
ID_dd93e20ec,4
ID_c8f69febe,4
ID_32e57e6be,4
ID_67204372d,4
ID_c946fea9c,4
ID_202c0a339,4
ID_0f688cf40,4
ID_d7af7b303,4
ID_c38cb27c5,4
ID_7855a5880,4
ID_6aee5943e,4
ID_48c10ba80,4
ID_1a283d51b,4
ID_b20ab1829,4
ID_aa4870ce2,4
ID_b2c2feb03,4
ID_f1b296d83,4
ID_d573a95c2,4
ID_b2e903868,4
ID_084179406,4
ID_3f2e2fa81,4
ID_c3ae81c15,4
ID_b31fa267f,4
ID_afbc25a99,4
ID_cca2d38b1,4
ID_f3583bbf7,4
ID_072c16126,4
ID_b3dd09090,4
ID_121a92c4e,4
ID_4cf6a7097,4
ID_12e339d76,4
ID_c9fa0b1a8,4
ID_ccc920272,4
ID_cadf08b53,4
ID_5be3504eb,4
ID_11c2487c3,4
ID_642ae6a8d,4
ID_d483e2cc3,4
ID_8881f94cf,4
ID_45986680d,4
ID_275651c54,4
ID_fc8d5b445,4
ID_d189a7af6,4
ID_530183555,4
ID_2a67a7630,4
ID_60eaa56fd,4
ID_fdf18bbee,2
ID_cba836ed8,2
ID_6031cb88d,2
